UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,COUNT,DEBTMEDIAN,DEBTPAYMENT10YR,DEBTMEAN,TITLEIVCOUNT,EARNINGSCOUNT,MD_EARN_WNE,IPEDSCOUNT1,IPEDSCOUNT2
100654,001002,Alabama A & M University,Public,1,0100,"Agriculture, General.",3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,4,NULL
100654,001002,Alabama A & M University,Public,1,0101,Agricultural Business and Management.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL
100654,001002,Alabama A & M University,Public,1,0109,Animal Sciences.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,31066,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7,6
100654,001002,Alabama A & M University,Public,1,0110,Food Science and Technology.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5,8
100654,001002,Alabama A & M University,Public,1,0110,Food Science and Technology.,5,Master's Degree,15,PrivacySuppressed,PrivacySuppressed,61527,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9,10
100654,001002,Alabama A & M University,Public,1,0110,Food Science and Technology.,6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,4
100654,001002,Alabama A & M University,Public,1,0111,Plant Sciences.,3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL
100654,001002,Alabama A & M University,Public,1,0199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",3,Bachelors Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,3
100654,001002,Alabama A & M University,Public,1,0199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",5,Master's Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7,8
100654,001002,Alabama A & M University,Public,1,0199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",6,Doctoral Degree,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,2
100654,001002,Alabama A & M University,Public,1,0305,Forestry.,3,Bachelors Degree,10,PrivacySuppressed,PrivacySuppressed,35598,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6,8
